price;rating;rating_DEC-100;rating_GP;rating_GR;rating_JR;rating_JS;rating_LM;rating_RP;rating_TA;rating_VIN;rating_Vivino;rating_W&S;rating_WE;rating_WS;region_1;region_2;region_3;title;volume
867;7.5;;;;;;;;;;4.1;;;;Грузия;Кахетия;Киндзмараули;Badagoni, Kindzmarauli;0.75
928;4.3;;;;;;;;;;3.7;;;;Франция;Лангедок-Руссийон;;"""Paul Mas"" Chardonnay, Pays d'Oc IGP, 2018";0.75
1298;;;;;;;;;;;3.2;;;;США;Калифорния;Долина Напа;Beringer, White Zinfandel, 2017;0.75
1194;8.4;;;;;;;;;;4.1;;;;Грузия;Кахетия;;"""Картули Вази"" Киндзмараули";0.75
1381;7.8;;;;;;;;;;3.8;91;;;Аргентина;Долина Кальчаки;;"""Amalaya"", 2017";0.75
743;6.5;;;;;;;;;;3.2;;;;Италия;Тоскана;Кьянти;"Chianti DOCG ""Caretti""";0.75
765;;;;;;;;;;;3.6;;;;Италия;Трентино-Альто Адидже;;"""Sanvigilio"" Pinot Grigio, Provincia di Pavia IGT, 2018";0.75
597;6.8;;;;;;;;;;3.6;;;;ЮАР;Западный Кейп;;"""Massai"" Pinotage";0.75
2777;8.1;;;;;;;;;;4.1;;;;Италия;Венето;Амароне делла Вальполичелла Классико;"""Aristocratico"" Amarone della Valpolicella DOCG";0.75
1081;6.6;;;;;;;;;;1;;;;Испания;;;"Elivo, ""Zero Zero"" Deluxe Blanco, No Alcohol";0.75
763;;;;;;;;;;;2.4;;;;Германия;;;Carl Jung, Chardonnay Alkoholfreier;0.75
920;9.0;;;;;;;;;;3.7;;;;Испания;Наварра;;"""Baluarte"" Roble, Navarra DO, 2017";0.75
2233;5.7;;;;;;;;;;4.3;;;;Италия;Апулия;Примитиво ди Мандурия;"Luccarelli, ""Campo Marina"" Primitivo di Manduria DOP, 2017";0.75
1079;7.0;;;;;;;;;;4.1;;;;Грузия;Кахетия;;"""Мегобари"" Оджалеши";0.75
609;8.3;;;;;;;;;;3.8;;;;Франция;Лангедок-Руссийон;;J.P.Chenet, Medium Sweet Vin de Pays;0.75
681;8.0;;;;;;;;;;3.3;;;;Израиль;Галилея;;"Barkan, ""Kinor"" Sacramental";0.75
535;8.8;;;;;;;;;;3.4;;;;Франция;Арманьяк;Кот де Гасконь;"Barton & Guestier, ""Reserve"" Sauvignon Blanc, Cotes de Gascogne IGP";0.75
1065;7.6;;;;;;;;;;3.8;;;;Германия;Мозель-Саар-Рувер;;"""Edition Abtei Himmerod"" Riesling Spatlese, Mosel";0.75
1127;7.3;;;;;;;;;;3.8;;;;Грузия;Кахетия;;"Palavani, Rkatsiteli ""Qvevri""";0.75
609;6.3;;;;;;;;;;3.3;;;;Франция;Лангедок-Руссийон;;J. P. Chenet, Cabernet-Syrah, Pays d'Oc IGP;0.75
592;;;;;;;;;;;4.1;;;;Франция;Юго-запад Франции;Гасконь;"Haut Marin, ""Littorine"" Colombard & Ugni Blanc, Cotes de Gascogne IGP";0.75
649;;;;;;;;;;;3.4;;;;Испания;Кастилия Ла Манча;;"Finca La Estacada, ""Hello World!"" Viognier";0.75
786;7.9;;;;;;;;;;;;;;Франция;Лангедок-Руссийон;;"""Bonne Nouvelle"" Merlot";0.75
896;6.0;;;;;;;;;;3.7;;;;Италия;Тоскана;Кьянти;"Bonacchi, ""Borghetto"" Chianti DOCG Riserva";0.75
921;3.4;;;;;;;;;;;;88;;Франция;Лангедок-Руссийон;;"""Recital"" Sauvignon Blanc, Pays d'Oc, 2017";0.75
